# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.302828   0.902397
0.599500   0.540987   0.781386
0.899250   0.771268   0.758609
1.199000   0.995774   0.749138
1.498750   1.220377   0.751169
1.798500   1.446099   0.751553
2.098250   1.670932   0.751689
2.398000   1.896737   0.758549
2.697750   2.125683   0.760605
2.997500   2.352720   0.751300
3.297250   2.576087   0.741486
3.597000   2.797241   0.733560
3.896750   3.015856   0.732339
4.196500   3.236278   0.738792
4.496250   3.458762   0.742232
