# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.115219   0.150547
0.599500   0.090253   -0.018575
0.899250   0.104083   0.011715
1.199000   0.097276   -0.009489
1.498750   0.098395   0.002670
1.798500   0.098877   -0.000326
2.098250   0.098199   -0.001821
2.398000   0.097785   0.001524
2.697750   0.099113   -0.000104
2.997500   0.097723   0.000279
3.297250   0.099280   -0.001035
3.597000   0.097103   -0.001976
3.896750   0.098095   0.003005
4.196500   0.098904   0.000287
4.496250   0.098268   -0.002124
