# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.308527   0.925130
0.599500   0.554615   0.811246
0.899250   0.794869   0.806086
1.199000   1.037864   0.804079
1.498750   1.276915   0.791295
1.798500   1.512245   0.781301
2.098250   1.745304   0.784513
2.398000   1.982561   0.791521
2.697750   2.219821   0.785093
2.997500   2.453224   0.782412
3.297250   2.688878   0.790402
3.597000   2.927070   0.794483
3.896750   3.165170   0.799289
4.196500   3.406244   0.800040
4.496250   3.644794   0.795830
