# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.062944   0.081726
0.599500   0.048995   0.000858
0.899250   0.063458   0.009941
1.199000   0.054954   -0.016490
1.498750   0.053573   0.005000
1.798500   0.057952   0.001134
2.098250   0.054252   -0.001676
2.398000   0.056947   0.000044
2.697750   0.054278   -0.003002
2.997500   0.055148   0.001998
3.297250   0.055476   -0.001747
3.597000   0.054100   0.000029
3.896750   0.055494   -0.000078
4.196500   0.054053   -0.000403
4.496250   0.055252   0.003999
