# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.131052   0.178803
0.599500   0.107193   -0.026734
0.899250   0.115025   0.007485
1.199000   0.111680   -0.002350
1.498750   0.113616   -0.000105
1.798500   0.111617   0.000393
2.098250   0.113852   -0.001919
2.398000   0.110466   -0.001128
2.697750   0.113176   0.002134
2.997500   0.111745   -0.000428
3.297250   0.112919   0.000634
3.597000   0.112126   -0.002916
3.896750   0.111171   0.000917
4.196500   0.112675   0.002276
4.496250   0.112535   -0.000467
