# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.075862   0.096289
0.599500   0.057725   -0.002437
0.899250   0.074401   0.010700
1.199000   0.064140   -0.015738
1.498750   0.064966   0.004338
1.798500   0.066741   0.001736
2.098250   0.066007   -0.000763
2.398000   0.066283   0.000667
2.697750   0.066407   -0.003270
2.997500   0.064323   0.001255
3.297250   0.067159   -0.001426
3.597000   0.063468   0.001165
3.896750   0.067857   0.000230
4.196500   0.063606   -0.002633
4.496250   0.066279   0.008915
