# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.122584   0.166682
0.599500   0.099926   -0.019401
0.899250   0.110953   0.007373
1.199000   0.104346   -0.006173
1.498750   0.107253   0.000950
1.798500   0.104915   -0.000250
2.098250   0.107102   -0.001050
2.398000   0.104286   -0.000357
2.697750   0.106888   0.001431
2.997500   0.105143   -0.000021
3.297250   0.106876   -0.000533
3.597000   0.104824   -0.000790
3.896750   0.106402   0.001021
4.196500   0.105436   -0.000679
4.496250   0.105995   0.001864
