# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.299750   0.317760   0.956316
0.599500   0.573312   0.844445
0.899250   0.824005   0.842983
1.199000   1.078680   0.848174
1.498750   1.332485   0.841597
1.798500   1.583217   0.829936
2.098250   1.830032   0.824634
2.398000   2.077585   0.829422
2.697750   2.327271   0.824869
2.997500   2.572094   0.820068
3.297250   2.818902   0.831265
3.597000   3.070438   0.836221
3.896750   3.320216   0.828612
4.196500   3.567190   0.824633
4.496250   3.814583   0.825331
