#  E (eV)   dosup(E)     dosdw(E)   Int dos(E) EFermi =  13.860 eV
  14.304  0.2980E+00  0.1456E+01  0.1868E+02
  14.404  0.3027E+00  0.1489E+01  0.1886E+02
  14.504  0.3071E+00  0.1594E+01  0.1905E+02
  14.604  0.3175E+00  0.1618E+01  0.1924E+02
  14.704  0.3242E+00  0.2482E+01  0.1953E+02
  14.804  0.3150E+00  0.2577E+01  0.1981E+02
  14.904  0.3265E+00  0.3141E+01  0.2016E+02
  15.004  0.2866E+00  0.3884E+01  0.2058E+02
  15.104  0.2802E+00  0.4433E+01  0.2105E+02
  15.204  0.2647E+00  0.2944E+01  0.2137E+02
  15.304  0.2596E+00  0.5205E+00  0.2145E+02
  15.404  0.2557E+00  0.4934E+00  0.2152E+02
  15.504  0.2541E+00  0.4935E+00  0.2160E+02
  15.604  0.2601E+00  0.4883E+00  0.2167E+02
  15.704  0.2655E+00  0.4526E+00  0.2174E+02
  15.804  0.2484E+00  0.4331E+00  0.2181E+02
  15.904  0.2423E+00  0.4216E+00  0.2188E+02
  16.004  0.2393E+00  0.3983E+00  0.2194E+02
  16.104  0.2367E+00  0.3950E+00  0.2201E+02
  16.204  0.2330E+00  0.3945E+00  0.2207E+02
  16.304  0.2300E+00  0.3991E+00  0.2213E+02
  16.404  0.2289E+00  0.3679E+00  0.2219E+02
  16.504  0.2279E+00  0.3502E+00  0.2225E+02
  16.604  0.2241E+00  0.3283E+00  0.2230E+02
  16.704  0.2227E+00  0.3175E+00  0.2236E+02
  16.804  0.2239E+00  0.3142E+00  0.2241E+02
  16.904  0.2290E+00  0.3119E+00  0.2247E+02
  17.004  0.2369E+00  0.3030E+00  0.2252E+02
  17.104  0.2418E+00  0.2893E+00  0.2257E+02
  17.204  0.2437E+00  0.2804E+00  0.2263E+02
  17.304  0.2597E+00  0.2755E+00  0.2268E+02
  17.404  0.2322E+00  0.2698E+00  0.2273E+02
  17.504  0.2294E+00  0.2637E+00  0.2278E+02
  17.604  0.2262E+00  0.2587E+00  0.2283E+02
  17.704  0.2223E+00  0.2547E+00  0.2288E+02
  17.804  0.2249E+00  0.2536E+00  0.2292E+02
  17.904  0.2618E+00  0.2544E+00  0.2297E+02
  18.004  0.2007E+00  0.2555E+00  0.2302E+02
  18.104  0.1927E+00  0.2617E+00  0.2307E+02
  18.204  0.1854E+00  0.2630E+00  0.2311E+02
  18.304  0.1787E+00  0.2779E+00  0.2316E+02
  18.404  0.1745E+00  0.2528E+00  0.2320E+02
  18.504  0.1708E+00  0.2469E+00  0.2324E+02
  18.604  0.1678E+00  0.2417E+00  0.2328E+02
  18.704  0.1660E+00  0.2382E+00  0.2332E+02
  18.804  0.1693E+00  0.2353E+00  0.2336E+02
  18.904  0.2338E+00  0.2536E+00  0.2341E+02
