#  E (eV)   dos(E)     Int dos(E) EFermi =  13.737 eV
  17.904  0.4725E+00  0.2309E+02
  18.004  0.4637E+00  0.2313E+02
  18.104  0.4552E+00  0.2318E+02
  18.204  0.4565E+00  0.2323E+02
  18.304  0.5063E+00  0.2328E+02
  18.404  0.4088E+00  0.2332E+02
  18.504  0.3909E+00  0.2336E+02
  18.604  0.3770E+00  0.2339E+02
  18.704  0.3654E+00  0.2343E+02
  18.804  0.3573E+00  0.2347E+02
  18.904  0.3504E+00  0.2350E+02
  19.004  0.3456E+00  0.2354E+02
  19.104  0.3513E+00  0.2357E+02
  19.204  0.3423E+00  0.2361E+02
