# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.557342   1.061732
0.999167   1.060847   0.989254
1.498750   1.545771   0.984692
1.998333   2.044718   1.023104
2.497917   2.568023   1.043612
2.997500   3.087461   1.028309
3.497083   3.595475   1.025824
3.996667   4.112430   1.022307
4.496250   4.616929   1.013830
4.995833   5.125416   1.004440
5.495417   5.620532   0.972995
5.995000   6.097600   0.939116
6.494583   6.558866   0.916701
6.994167   7.013536   0.908786
7.493750   7.466894   0.912872
7.993333   7.925647   0.899038
8.492917   8.365183   0.866188
8.992500   8.791114   0.864500
9.492083   9.228962   0.880304
9.991667   9.670685   0.873386
10.491250   10.101620   0.848192
10.990833   10.518170   0.821005
11.490417   10.921941   0.798647
11.990000   11.316152   0.786915
12.489583   11.708200   0.794207
12.989167   12.109697   0.820790
13.488750   12.528306   0.862446
13.988333   12.971425   0.911561
14.487917   13.439107   0.939762
14.987500   13.910403   0.953905
15.487083   14.392218   1.000985
15.986667   14.910554   1.043967
16.486250   15.435314   1.035714
16.985833   15.945405   1.014475
17.485417   16.448944   1.014785
17.985000   16.959345   1.047000
18.484583   17.495071   1.103115
18.984167   18.061541   1.108244
19.483750   18.602391   1.070193
19.983333   19.130842   1.055275
20.482917   19.656787   1.086697
20.982500   20.216633   1.177208
21.482083   20.833014   1.193796
21.981667   21.409434   1.108489
22.481250   21.940579   1.030530
22.980833   22.439106   0.947131
23.480417   22.886921   0.917493
23.980000   23.355834   0.916961
24.479583   23.803118   0.909391
24.979167   24.264468   0.944300
25.478750   24.746630   0.940809
25.978333   25.204492   0.948349
26.477917   25.694189   0.998395
26.977500   26.202056   1.049504
27.477083   26.742818   1.087850
27.976667   27.289000   1.079662
28.476250   27.821581   1.021612
28.975833   28.309760   0.999174
29.475417   28.819922   1.018175
29.975000   29.327087   1.050961
30.474583   29.870007   1.084613
30.974167   30.410795   1.063267
31.473750   30.932389   1.090254
31.973333   31.500141   1.194049
32.472917   32.125443   1.238555
32.972500   32.737664   1.224236
33.472083   33.348658   1.206976
33.971667   33.943634   1.193543
34.471250   34.541207   1.144885
34.970833   35.087564   1.078932
35.470417   35.619240   1.045096
35.970000   36.131789   0.995435
36.469583   36.613846   0.883585
36.969167   37.014639   0.766621
37.468750   37.379828   0.724619
37.968333   37.738653   0.735859
38.467917   38.115074   0.824618
38.967500   38.562584   0.946620
39.467083   39.060905   1.027728
39.966667   39.589456   0.958404
40.466250   40.018511   0.821899
40.965833   40.410670   0.807772
41.465417   40.825610   0.824083
41.965000   41.234065   0.827510
42.464583   41.652430   0.873179
42.964167   42.106517   0.887786
43.463750   42.539476   0.880488
43.963333   42.986272   0.843886
44.462917   43.382659   0.797720
44.962500   43.783327   0.811044
45.462083   44.193028   0.833985
45.961667   44.616617   0.854108
46.461250   45.046424   0.839544
46.960833   45.455461   0.841317
47.460417   45.887040   0.851941
47.960000   46.306693   0.808496
48.459583   46.694862   0.715858
48.959167   47.021954   0.612054
49.458750   47.306406   0.569377
