# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.427132   0.790614
0.999167   0.789956   0.723766
1.498750   1.150295   0.737241
1.998333   1.526583   0.718938
2.497917   1.868634   0.662299
2.997500   2.188330   0.648607
3.497083   2.516701   0.671125
3.996667   2.858895   0.701260
4.496250   3.217376   0.717142
4.995833   3.575439   0.716157
5.495417   3.932937   0.729349
5.995000   4.304180   0.750730
6.494583   4.683042   0.755456
6.994167   5.059007   0.711584
7.493750   5.394033   0.651559
7.993333   5.710023   0.611736
8.492917   6.005259   0.582636
8.992500   6.292173   0.578424
9.492083   6.583201   0.612542
9.991667   6.904204   0.654808
10.491250   7.237463   0.656797
10.990833   7.560454   0.619661
11.490417   7.856607   0.598455
11.990000   8.158410   0.595875
12.489583   8.451986   0.579070
12.989167   8.736997   0.558758
13.488750   9.010278   0.558991
13.988333   9.295523   0.557494
14.487917   9.567307   0.517796
14.987500   9.812888   0.488871
15.487083   10.055770   0.497721
15.986667   10.310194   0.525233
16.486250   10.580565   0.503354
16.985833   10.813129   0.477011
17.485417   11.057179   0.508770
17.985000   11.321475   0.525819
18.484583   11.582559   0.509628
18.984167   11.830678   0.521167
19.483750   12.103292   0.565923
19.983333   12.396130   0.583357
20.482917   12.686163   0.596724
20.982500   12.992356   0.634503
21.482083   13.320138   0.675350
21.981667   13.667143   0.705201
22.481250   14.024751   0.710278
22.980833   14.376829   0.713933
23.480417   14.738090   0.728987
23.980000   15.105209   0.721969
24.479583   15.459458   0.739621
24.979167   15.844213   0.771676
25.478750   16.230491   0.760128
25.978333   16.603708   0.769860
26.477917   16.999709   0.837386
26.977500   17.440396   0.868084
27.477083   17.867070   0.824268
27.976667   18.263977   0.822737
28.476250   18.689122   0.888021
28.975833   19.151258   0.935318
29.475417   19.623660   0.916806
29.975000   20.067300   0.891305
30.474583   20.514223   0.894031
30.974167   20.960586   0.897032
31.473750   21.410507   0.850627
31.973333   21.810504   0.780350
32.472917   22.190207   0.775605
32.972500   22.585463   0.789651
33.472083   22.979199   0.782298
33.971667   23.367109   0.766452
34.471250   23.745013   0.744041
34.970833   24.110530   0.729479
35.470417   24.473884   0.747267
35.970000   24.857174   0.799916
36.469583   25.273133   0.804815
36.969167   25.661319   0.794388
37.468750   26.066859   0.848010
37.968333   26.508623   0.893609
38.467917   26.959724   0.892266
38.967500   27.400145   0.863050
39.467083   27.822054   0.851892
39.966667   28.251327   0.909940
40.466250   28.731235   0.985842
40.965833   29.236347   1.024330
41.465417   29.754711   1.107080
41.965000   30.342504   1.174787
42.464583   30.928519   1.156616
42.964167   31.498156   1.113763
43.463750   32.041354   1.110711
43.963333   32.607941   1.142988
44.462917   33.183390   1.091562
44.962500   33.698594   1.034112
45.462083   34.216640   1.046886
45.961667   34.744607   1.039774
46.461250   35.255548   1.024191
46.960833   35.767945   1.049281
47.460417   36.303955   1.036498
47.960000   36.803579   0.982558
48.459583   37.285693   0.947742
48.959167   37.750532   0.920578
49.458750   38.205504   0.910704
