# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.068391   0.066696
0.999167   0.066640   -0.004705
1.498750   0.063690   -0.001503
1.998333   0.065138   0.000974
2.497917   0.064663   -0.000782
2.997500   0.064357   -0.001729
3.497083   0.062936   0.003417
3.996667   0.067770   0.003115
4.496250   0.066048   -0.003660
4.995833   0.064114   -0.000749
5.495417   0.065300   0.002263
5.995000   0.066375   0.000025
6.494583   0.065325   -0.000961
6.994167   0.065415   -0.001160
7.493750   0.064166   -0.000662
7.993333   0.064753   0.002866
8.492917   0.067030   -0.000811
8.992500   0.063942   -0.000790
9.492083   0.066241   0.002102
9.991667   0.066043   -0.001955
10.491250   0.064288   -0.001843
10.990833   0.064202   0.003462
11.490417   0.067747   0.001873
11.990000   0.066073   -0.000654
12.489583   0.067093   0.000952
12.989167   0.067024   -0.002701
13.488750   0.064394   -0.003188
13.988333   0.063839   0.001302
14.487917   0.065694   0.002479
14.987500   0.066315   -0.001102
15.487083   0.064594   -0.002485
15.986667   0.063833   -0.000244
16.486250   0.064350   0.001807
16.985833   0.065639   -0.000321
17.485417   0.064029   0.001401
17.985000   0.067039   0.000317
18.484583   0.064345   -0.002181
18.984167   0.064859   0.001758
19.483750   0.066102   0.001966
19.983333   0.066823   -0.002384
20.482917   0.063720   -0.001749
20.982500   0.065076   0.001439
21.482083   0.065158   -0.000795
21.981667   0.064281   0.000430
22.481250   0.065587   0.000857
22.980833   0.065137   -0.001473
23.480417   0.064115   -0.000270
23.980000   0.064867   0.001230
24.479583   0.065344   0.000330
24.979167   0.065197   -0.000920
25.478750   0.064425   0.000721
25.978333   0.065917   0.000474
26.477917   0.064899   -0.000577
26.977500   0.065341   -0.000833
27.477083   0.064066   0.002422
27.976667   0.067761   0.001966
28.476250   0.066030   -0.000574
28.975833   0.067188   0.001151
29.475417   0.067180   -0.002538
29.975000   0.064651   -0.000320
30.474583   0.066860   0.001352
30.974167   0.066002   0.001533
31.473750   0.068392   0.001591
31.973333   0.067591   -0.003018
32.472917   0.065377   -0.001862
32.972500   0.065731   0.001163
33.472083   0.066538   0.000559
33.971667   0.066290   -0.000558
34.471250   0.065980   0.000618
34.970833   0.066908   0.000389
35.470417   0.066369   -0.002393
35.970000   0.064516   -0.000974
36.469583   0.065396   0.001028
36.969167   0.065543   -0.000501
37.468750   0.064896   -0.000289
37.968333   0.065254   0.000534
38.467917   0.065429   0.000961
38.967500   0.066214   -0.001600
39.467083   0.063831   -0.001685
39.966667   0.064530   0.001053
40.466250   0.064882   0.000996
40.965833   0.065526   -0.000108
41.465417   0.064775   -0.000617
41.965000   0.064910   0.000232
42.464583   0.065006   0.000731
42.964167   0.065640   -0.000000
43.463750   0.065006   -0.002189
43.963333   0.063453   0.001081
44.462917   0.066086   -0.000342
44.962500   0.063111   -0.003271
45.462083   0.062818   0.001676
45.961667   0.064786   0.003685
46.461250   0.066499   -0.000688
46.960833   0.064099   -0.001678
47.460417   0.064823   0.001345
47.960000   0.065443   0.000162
48.459583   0.064984   0.001828
48.959167   0.067270   0.000765
49.458750   0.065749   -0.003044
