# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.090508   0.092281
0.999167   0.092204   -0.002217
1.498750   0.088293   -0.002188
1.998333   0.090017   0.000516
2.497917   0.088809   -0.002543
2.997500   0.087476   0.001094
3.497083   0.089902   0.002553
3.996667   0.090027   -0.000998
4.496250   0.088905   0.001913
4.995833   0.091938   0.000106
5.495417   0.089010   -0.005015
5.995000   0.086928   0.002174
6.494583   0.091182   0.004200
6.994167   0.091124   -0.002278
7.493750   0.088906   0.001481
7.993333   0.092604   0.002447
8.492917   0.091350   -0.004184
8.992500   0.088424   -0.003501
9.492083   0.087853   0.003089
9.991667   0.091510   0.004187
10.491250   0.092036   -0.000441
10.990833   0.091070   -0.002706
11.490417   0.089332   -0.002055
11.990000   0.089016   -0.000261
12.489583   0.089072   0.001226
12.989167   0.090241   0.001876
13.488750   0.090946   0.001574
13.988333   0.091814   0.000580
14.487917   0.091526   -0.000808
14.987500   0.091006   -0.001815
15.487083   0.089712   -0.000921
15.986667   0.090086   0.003956
16.486250   0.093665   0.002007
16.985833   0.092091   -0.004068
17.485417   0.089600   -0.002870
17.985000   0.089224   0.002001
18.484583   0.091599   0.003457
18.984167   0.092678   -0.002088
19.483750   0.089513   -0.003002
19.983333   0.089679   0.002943
20.482917   0.092453   0.000382
20.982500   0.090061   -0.002145
21.482083   0.090310   -0.002380
21.981667   0.087683   0.001229
22.481250   0.091538   0.004232
22.980833   0.091912   -0.001604
23.480417   0.089935   -0.000451
23.980000   0.091461   0.000622
24.479583   0.090556   -0.001174
24.979167   0.090288   -0.000859
25.478750   0.089698   0.000633
25.978333   0.090920   0.001119
26.477917   0.090817   -0.003058
26.977500   0.087865   -0.001224
27.477083   0.089594   0.002608
27.976667   0.090471   0.000244
28.476250   0.089837   -0.001113
28.975833   0.089359   -0.002354
29.475417   0.087485   -0.000028
29.975000   0.089331   0.002633
30.474583   0.090116   0.000227
30.974167   0.089558   0.000229
31.473750   0.090344   -0.002016
31.973333   0.087543   -0.003712
32.472917   0.086635   -0.000367
32.972500   0.087176   0.001578
33.472083   0.088212   0.001477
33.971667   0.088652   -0.000328
34.471250   0.087884   -0.000251
34.970833   0.088402   -0.000198
35.470417   0.087686   0.000265
35.970000   0.088667   0.001016
36.469583   0.088701   -0.001065
36.969167   0.087602   -0.000335
37.468750   0.088367   0.000124
37.968333   0.087726   -0.001393
38.467917   0.086975   -0.000538
38.967500   0.087189   0.002273
39.467083   0.089246   0.001497
39.966667   0.088685   -0.001180
40.466250   0.088067   0.002096
40.965833   0.090778   0.002517
41.465417   0.090582   0.000283
41.965000   0.091061   0.001245
42.464583   0.091826   -0.002704
42.964167   0.088359   -0.001961
43.463750   0.089867   0.003515
43.963333   0.091871   -0.000731
44.462917   0.089136   -0.001987
44.962500   0.089886   0.003491
45.462083   0.092624   0.000626
45.961667   0.090512   -0.002646
46.461250   0.089980   0.001870
46.960833   0.092380   -0.000963
47.460417   0.089017   -0.004163
47.960000   0.088221   0.001439
48.459583   0.090456   0.001664
48.959167   0.089883   0.000965
49.458750   0.091420   0.003076
