# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.323562   0.540719
0.999167   0.540268   0.434516
1.498750   0.757716   0.426702
1.998333   0.966615   0.393688
2.497917   1.151076   0.386734
2.997500   1.353027   0.412319
3.497083   1.563052   0.419595
3.996667   1.772273   0.415016
4.496250   1.977722   0.411210
4.995833   2.183140   0.414225
5.495417   2.391602   0.422721
5.995000   2.605509   0.423486
6.494583   2.814735   0.430652
6.994167   3.035802   0.457847
7.493750   3.272201   0.480018
7.993333   3.515420   0.496446
8.492917   3.768233   0.503977
8.992500   4.018977   0.503629
9.492083   4.271442   0.516039
9.991667   4.534586   0.513295
10.491250   4.784310   0.509604
10.990833   5.043766   0.513497
11.490417   5.297379   0.493505
11.990000   5.536859   0.478953
12.489583   5.775933   0.472835
12.989167   6.009300   0.480959
13.488750   6.256492   0.465248
13.988333   6.474160   0.425681
14.487917   6.681818   0.412787
14.987500   6.886603   0.395852
15.487083   7.077341   0.398790
15.986667   7.285061   0.419195
16.486250   7.496187   0.420626
16.985833   7.705336   0.415127
17.485417   7.910967   0.415221
17.985000   8.120211   0.433098
18.484583   8.343704   0.471199
18.984167   8.591018   0.483085
19.483750   8.826387   0.465909
19.983333   9.056539   0.454959
20.482917   9.280966   0.428719
20.982500   9.484900   0.409901
21.482083   9.690526   0.399555
21.981667   9.884122   0.393521
22.481250   10.083719   0.381216
22.980833   10.265021   0.342342
23.480417   10.425776   0.334674
23.980000   10.599416   0.356859
24.479583   10.782337   0.378578
24.979167   10.977678   0.413314
25.478750   11.195306   0.428320
25.978333   11.405642   0.415629
26.477917   11.610588   0.405505
26.977500   11.810809   0.408225
27.477083   12.018473   0.421027
27.976667   12.231485   0.408887
28.476250   12.427019   0.378347
28.975833   12.609517   0.366550
29.475417   12.793264   0.344987
29.975000   12.954217   0.321675
30.474583   13.114671   0.333182
30.974167   13.287122   0.350882
31.473750   13.465261   0.379976
31.973333   13.666781   0.419581
32.472917   13.884492   0.427020
32.972500   14.093445   0.423726
33.472083   14.307866   0.442093
33.971667   14.535170   0.449418
34.471250   14.756909   0.439777
34.970833   14.974580   0.423160
35.470417   15.179716   0.401082
35.970000   15.375327   0.423766
36.469583   15.603129   0.448240
36.969167   15.823194   0.412502
37.468750   16.015287   0.367867
37.968333   16.190754   0.353739
38.467917   16.368732   0.356426
38.967500   16.546883   0.351060
39.467083   16.719499   0.350169
39.966667   16.896760   0.333856
40.466250   17.053077   0.291007
40.965833   17.187524   0.279356
41.465417   17.332200   0.301939
41.965000   17.489212   0.326200
42.464583   17.658128   0.351953
42.964167   17.840871   0.385201
43.463750   18.043008   0.422817
43.963333   18.263336   0.423654
44.462917   18.466309   0.406261
44.962500   18.669258   0.435053
45.462083   18.900999   0.482375
45.961667   19.151232   0.510887
46.461250   19.411461   0.519708
46.960833   19.670507   0.517632
47.460417   19.928662   0.514372
47.960000   20.184450   0.531955
48.459583   20.460174   0.547550
48.959167   20.731543   0.558127
49.458750   21.017836   0.573063
