# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.405236   0.743720
0.999167   0.743101   0.671368
1.498750   1.076045   0.683116
1.998333   1.425647   0.690365
2.497917   1.765834   0.691325
2.997500   2.116396   0.705811
3.497083   2.471057   0.708428
3.996667   2.824234   0.710344
4.496250   3.180809   0.706295
4.995833   3.529941   0.688743
5.495417   3.868978   0.681590
5.995000   4.210963   0.691310
6.494583   4.559712   0.696901
6.994167   4.907283   0.677490
7.493750   5.236637   0.647298
7.993333   5.554041   0.632578
8.492917   5.868688   0.629407
8.992500   6.182924   0.593410
9.492083   6.461604   0.533095
9.991667   6.715574   0.504187
10.491250   6.965371   0.513158
10.990833   7.228305   0.515699
11.490417   7.480640   0.488205
11.990000   7.716103   0.472854
12.489583   7.953100   0.491899
12.989167   8.207593   0.522817
13.488750   8.475481   0.552074
13.988333   8.759207   0.556685
14.487917   9.031702   0.540115
14.987500   9.298872   0.537203
15.487083   9.568457   0.541810
15.986667   9.840230   0.531608
16.486250   10.099622   0.545224
16.985833   10.384999   0.568352
17.485417   10.667501   0.569439
17.985000   10.953964   0.564719
18.484583   11.231750   0.544552
18.984167   11.498062   0.572592
19.483750   11.803865   0.610237
19.983333   12.107790   0.593570
20.482917   12.396940   0.555737
20.982500   12.663064   0.513874
21.482083   12.910387   0.505406
21.981667   13.168050   0.515886
22.481250   13.425843   0.522428
22.980833   13.690042   0.544263
23.480417   13.969652   0.578579
23.980000   14.268139   0.583001
24.479583   14.552166   0.589386
24.979167   14.857034   0.611737
25.478750   15.163394   0.601719
25.978333   15.458251   0.594217
26.477917   15.757115   0.583863
26.977500   16.041627   0.592911
27.477083   16.349532   0.642054
27.976667   16.683146   0.674658
28.476250   17.023628   0.704361
28.975833   17.386921   0.724531
29.475417   17.747555   0.712376
29.975000   18.098703   0.709590
30.474583   18.456554   0.706255
30.974167   18.804369   0.715685
31.473750   19.171642   0.713584
31.973333   19.517359   0.657572
32.472917   19.828666   0.614443
32.972500   20.131290   0.594713
33.472083   20.422883   0.558386
33.971667   20.689211   0.493268
34.471250   20.915740   0.437472
34.970833   21.126318   0.418698
35.470417   21.334089   0.395760
35.970000   21.521749   0.375041
36.469583   21.708818   0.410355
36.969167   21.931762   0.475038
37.468750   22.183460   0.483489
37.968333   22.414848   0.438345
38.467917   22.621440   0.425573
38.967500   22.840067   0.463585
39.467083   23.084638   0.521138
39.966667   23.360770   0.590943
40.466250   23.675089   0.680882
40.965833   24.041084   0.723559
41.465417   24.398045   0.727050
41.965000   24.767529   0.767751
42.464583   25.165157   0.833641
42.964167   25.600475   0.903138
43.463750   26.067542   0.930208
43.963333   26.529907   0.934067
44.462917   27.000831   0.951104
44.962500   27.480219   0.950673
45.462083   27.950712   0.945209
45.961667   28.424640   0.924479
46.461250   28.874421   0.902286
46.960833   29.326174   0.884574
47.460417   29.758258   0.892114
47.960000   30.217545   0.897705
48.459583   30.655215   0.863333
48.959167   31.080159   0.826083
49.458750   31.480609   0.801569
