# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.343995   0.586255
0.999167   0.585766   0.490716
1.498750   0.834302   0.517407
1.998333   1.102742   0.536697
2.497917   1.370552   0.526411
2.997500   1.628714   0.509255
3.497083   1.879383   0.499498
3.996667   2.127795   0.507786
4.496250   2.386746   0.516212
4.995833   2.643577   0.532810
5.495417   2.919111   0.564577
5.995000   3.207683   0.589905
6.494583   3.508524   0.602524
6.994167   3.809705   0.608286
7.493750   4.116303   0.619962
7.993333   4.429151   0.615020
8.492917   4.730811   0.617763
8.992500   5.046399   0.617765
9.492083   5.348061   0.609813
9.991667   5.655704   0.643095
10.491250   5.990620   0.660233
10.990833   6.315387   0.636663
11.490417   6.626753   0.610711
11.990000   6.925589   0.619512
12.489583   7.245749   0.659574
12.989167   7.584614   0.659473
13.488750   7.904672   0.643752
13.988333   8.227829   0.666060
14.487917   8.570177   0.689322
14.987500   8.916577   0.685676
15.487083   9.255282   0.653560
15.986667   9.569592   0.609504
16.486250   9.864278   0.569115
16.985833   10.138232   0.560993
17.485417   10.424803   0.583317
17.985000   10.721063   0.560093
18.484583   10.984430   0.519478
18.984167   11.240108   0.517564
19.483750   11.501563   0.523756
19.983333   11.763427   0.484942
20.482917   11.986101   0.448248
20.982500   12.211302   0.452995
21.482083   12.438718   0.456066
21.981667   12.666987   0.462941
22.481250   12.901273   0.473710
22.980833   13.140302   0.480313
23.480417   13.381186   0.471927
23.980000   13.611836   0.420591
24.479583   13.801426   0.397089
24.979167   14.008594   0.428743
25.478750   14.229812   0.448196
25.978333   14.456416   0.473279
26.477917   14.702697   0.498486
26.977500   14.954487   0.523489
27.477083   15.225750   0.525565
27.976667   15.479614   0.523394
28.476250   15.748708   0.508232
28.975833   15.987423   0.476639
29.475417   16.224950   0.461629
29.975000   16.448667   0.467781
30.474583   16.692340   0.492767
30.974167   16.941023   0.513669
31.473750   17.205581   0.552614
31.973333   17.493177   0.600238
32.472917   17.805318   0.614524
32.972500   18.107188   0.584264
33.472083   18.389096   0.548669
33.971667   18.655400   0.570464
34.471250   18.959085   0.617010
34.970833   19.271896   0.602831
35.470417   19.561414   0.573546
35.970000   19.844964   0.554638
36.469583   20.115590   0.545177
36.969167   20.389686   0.533373
37.468750   20.648518   0.533275
37.968333   20.922517   0.530684
38.467917   21.178760   0.510735
38.967500   21.432826   0.509010
39.467083   21.687346   0.515432
39.966667   21.947828   0.525049
40.466250   22.211957   0.537340
40.965833   22.484720   0.528659
41.465417   22.740176   0.475935
41.965000   22.960258   0.416717
42.464583   23.156545   0.396304
42.964167   23.356233   0.406996
43.463750   23.563202   0.423783
43.963333   23.779662   0.419397
44.462917   23.982250   0.388821
44.962500   24.168159   0.381081
45.462083   24.363013   0.362564
45.961667   24.530421   0.319678
46.461250   24.682424   0.301515
46.960833   24.831685   0.279246
47.460417   24.961437   0.255852
47.960000   25.087324   0.270134
48.459583   25.231347   0.302059
48.959167   25.389132   0.293692
49.458750   25.524794   0.271552
