# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.468618   0.867957
0.999167   0.867234   0.780985
1.498750   1.248953   0.752014
1.998333   1.618621   0.742885
2.497917   1.991219   0.731379
2.997500   2.349391   0.719405
3.497083   2.710025   0.736695
3.996667   3.085472   0.774660
4.496250   3.484039   0.782192
4.995833   3.867012   0.763499
5.495417   4.246902   0.730681
5.995000   4.597084   0.708187
6.494583   4.954499   0.689604
6.994167   5.286113   0.648499
7.493750   5.602457   0.628663
7.993333   5.914253   0.657866
8.492917   6.259775   0.678906
8.992500   6.592593   0.685279
9.492083   6.944483   0.714166
9.991667   7.306164   0.719088
10.491250   7.662971   0.748506
10.990833   8.054046   0.791447
11.490417   8.453758   0.837333
11.990000   8.890681   0.896527
12.489583   9.349538   0.953942
12.989167   9.843829   1.017126
13.488750   10.365816   1.059834
13.988333   10.902779   1.063623
14.487917   11.428553   1.039123
14.987500   11.941036   1.047485
15.487083   12.475165   1.079802
15.986667   13.019939   1.064812
16.486250   13.539090   1.042331
16.985833   14.061401   1.040335
17.485417   14.578558   1.050522
17.985000   15.111048   1.087284
18.484583   15.664935   1.098765
18.984167   16.208897   1.067090
19.483750   16.731136   1.073623
19.983333   17.281625   1.124847
20.482917   17.855045   1.128203
20.982500   18.408887   1.105622
21.482083   18.959746   1.092611
21.981667   19.500588   1.018396
22.481250   19.977293   0.923922
22.980833   20.423740   0.873869
23.480417   20.850434   0.812934
23.980000   21.235996   0.815030
24.479583   21.664784   0.878717
24.979167   22.113981   0.898465
25.478750   22.562501   0.873644
25.978333   22.986897   0.833360
26.477917   23.395166   0.809046
26.977500   23.795269   0.817007
27.477083   24.211492   0.819292
27.976667   24.613878   0.749157
28.476250   24.960025   0.693066
28.975833   25.306367   0.684634
29.475417   25.644088   0.617006
29.975000   25.922858   0.532917
30.474583   26.176561   0.507353
30.974167   26.429788   0.537099
31.473750   26.713212   0.548582
31.973333   26.977913   0.526442
32.472917   27.239216   0.478250
32.972500   27.455764   0.466387
33.472083   27.705214   0.504083
33.971667   27.959427   0.503473
34.471250   28.208267   0.553097
34.970833   28.512064   0.582097
35.470417   28.789880   0.554715
35.970000   29.066316   0.562988
36.469583   29.352398   0.565665
36.969167   29.631510   0.574129
37.468750   29.926049   0.604487
37.968333   30.235493   0.626391
38.467917   30.551918   0.662949
38.967500   30.897889   0.658296
39.467083   31.209665   0.631525
39.966667   31.528888   0.645849
40.466250   31.854976   0.660604
40.965833   32.188941   0.590432
41.465417   32.444916   0.538915
41.965000   32.727408   0.596445
42.464583   33.040864   0.643656
42.964167   33.370527   0.695941
43.463750   33.736225   0.717110
43.963333   34.087040   0.673766
44.462917   34.409430   0.641706
44.962500   34.728211   0.680521
45.462083   35.089384   0.701249
45.961667   35.428876   0.667126
46.461250   35.755954   0.663557
46.960833   36.091881   0.692996
47.460417   36.448373   0.727447
47.960000   36.818722   0.694708
48.459583   37.142502   0.620034
48.959167   37.438239   0.627882
49.458750   37.769861   0.663798
