# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.499583   0.134806   0.133732
0.999167   0.133620   -0.003148
1.498750   0.131660   0.000662
1.998333   0.134282   -0.004086
2.497917   0.127578   -0.003101
2.997500   0.131183   0.004742
3.497083   0.132316   -0.000770
3.996667   0.130414   -0.001617
4.496250   0.130701   -0.001548
4.995833   0.128868   -0.001692
5.495417   0.129010   0.000993
5.995000   0.129860   0.002081
6.494583   0.131090   0.001159
6.994167   0.131018   -0.001884
7.493750   0.129207   -0.000986
7.993333   0.130032   0.000182
8.492917   0.129389   -0.000636
8.992500   0.129397   0.002435
9.492083   0.131822   -0.000302
9.991667   0.129096   -0.004724
10.491250   0.127102   -0.000810
10.990833   0.128286   0.002861
11.490417   0.129961   0.000059
11.990000   0.128345   -0.000836
12.489583   0.129126   0.003037
12.989167   0.131380   -0.000438
13.488750   0.128688   -0.001630
13.988333   0.129750   0.002746
14.487917   0.131432   0.000865
14.987500   0.130614   -0.004195
15.487083   0.127240   0.000352
15.986667   0.130966   0.002167
16.486250   0.129405   -0.000116
16.985833   0.130850   0.002148
17.485417   0.131551   -0.002736
17.985000   0.128116   -0.001085
18.484583   0.130467   0.002133
18.984167   0.130247   -0.001968
19.483750   0.128500   0.001169
19.983333   0.131415   0.001935
20.482917   0.130434   0.001437
20.982500   0.132851   -0.001788
21.482083   0.128648   0.002194
21.981667   0.135043   0.003466
22.481250   0.132111   -0.005694
22.980833   0.129354   -0.000051
23.480417   0.132060   0.003127
23.980000   0.132478   -0.003134
24.479583   0.128928   -0.002149
24.979167   0.130331   0.006360
25.478750   0.135282   0.001658
25.978333   0.131988   -0.002554
26.477917   0.132731   0.000678
26.977500   0.132665   0.000397
27.477083   0.133127   0.001103
27.976667   0.133767   -0.004298
28.476250   0.128833   0.001114
28.975833   0.134880   0.004920
29.475417   0.133749   -0.004785
29.975000   0.130100   -0.005022
30.474583   0.128731   -0.003793
30.974167   0.126309   0.002735
31.473750   0.131464   0.005010
31.973333   0.131315   -0.002805
32.472917   0.128661   0.001319
32.972500   0.132633   -0.000427
33.472083   0.128234   -0.000329
33.971667   0.132305   0.003089
34.471250   0.131321   -0.001593
34.970833   0.130713   -0.004499
35.470417   0.126826   -0.000668
35.970000   0.130046   0.001614
36.469583   0.128438   0.002220
36.969167   0.132264   0.002554
37.468750   0.130990   -0.004086
37.968333   0.128182   0.000989
38.467917   0.131978   0.003473
38.967500   0.131652   0.002793
39.467083   0.134769   0.000272
39.966667   0.131923   -0.001769
40.466250   0.133001   0.001598
40.965833   0.133520   0.000777
41.465417   0.133777   0.000060
41.965000   0.133580   0.000513
42.464583   0.134290   0.000433
42.964167   0.134013   -0.004482
43.463750   0.129811   0.002295
43.963333   0.136306   0.002116
44.462917   0.131926   -0.004358
44.962500   0.131951   -0.000787
45.462083   0.131139   -0.000997
45.961667   0.130956   0.006027
46.461250   0.137161   0.004154
46.960833   0.135106   -0.002502
47.460417   0.134661   -0.003148
47.960000   0.131961   -0.000319
48.459583   0.134343   -0.000028
48.959167   0.131933   0.003680
49.458750   0.138019   0.012183
