# 	 t 	 T	E	K
2.05	2184.74769439	-282.562531181	30.216882813
2.1	2024.18123024	-280.223938376	27.9961146925
2.15	1810.14553719	-277.24809286	25.0358225402
2.2	2243.87632979	-283.285517537	31.0346811571
2.25	2073.25604026	-280.987936998	28.6748602462
2.3	2010.81122815	-280.120035259	27.8111964123
2.35	1987.07703212	-279.828591546	27.4829326856
2.4	2119.11229574	-281.68230401	29.3090905062
2.45	2136.02350193	-281.794285419	29.5429865925
2.5	2122.32432053	-281.671984911	29.353515488
2.55	2194.48799706	-282.63329499	30.3515993228
2.6	2160.77310741	-282.163565165	29.885294279
2.65	2083.50752093	-281.140889754	28.8166467741
2.7	2128.88761381	-281.759118216	29.4442913082
2.75	2207.57973682	-282.910920589	30.532669003
2.8	1932.69158013	-279.035007459	26.7307365241
2.85	2071.06125235	-280.949051003	28.6445044988
2.9	1939.04694831	-279.101871622	26.8186365668
2.95	2111.60892449	-281.616226148	29.2053126235
3.0	1954.85703686	-279.402736696	27.037303278
3.05	2207.26704148	-282.898183326	30.5283441657
3.1	1823.21944648	-277.45647044	25.2166456099
3.15	1943.42205295	-279.110509029	26.879147913
3.2	2068.92158278	-280.898819987	28.6149110841
3.25	2092.16902794	-281.274746174	28.9364426402
3.3	2091.6253034	-281.333167309	28.9289224763
3.35	1904.01823516	-278.614455755	26.3341602481
3.4	2075.59219126	-281.006719885	28.7071711631
3.45	2039.97624128	-280.434965561	28.2145728691
3.5	2032.90879907	-280.393368967	28.1168242487
3.55	2155.15952974	-282.168011328	29.8076538178
3.6	1936.05226409	-279.089611252	26.7772175862
3.65	2121.88398132	-281.694892984	29.3474252294
3.7	1959.36037031	-279.371325294	27.0995881355
3.75	1991.20521178	-279.845610509	27.5400288535
3.8	2138.97734956	-281.907628025	29.5838407689
3.85	1979.73024561	-279.720100099	27.3813205006
3.9	1970.73086234	-279.52456088	27.2568515239
3.95	2043.28150555	-280.514233464	28.2602874307
4.0	2164.64581265	-282.232391497	29.9388570224
4.05	2051.57252203	-280.655811542	28.3749591038
4.1	2011.75653173	-280.072450695	27.8242707493
4.15	1882.06825223	-278.271361576	26.0305736766
4.2	2113.92309739	-281.564693993	29.2373195648
4.25	2097.89155748	-281.340167438	29.0155899967
4.3	1939.5313632	-279.12339345	26.8253364287
4.35	2169.15994482	-282.314423013	30.0012912354
4.4	1939.82850781	-279.16732161	26.8294461864
4.45	1994.68409854	-279.864034443	27.5881447589
4.5	1985.79946165	-279.672701205	27.4652628204
4.55	2038.39314126	-280.453305148	28.1926772754
4.6	2016.96425916	-280.161080829	27.8962979631
4.65	1918.04325503	-278.822620214	26.5281379705
4.7	2102.75541418	-281.385576984	29.0828611916
4.75	2021.17744445	-280.256899657	27.9545698297
4.8	2038.12752913	-280.417649749	28.1890036381
4.85	2213.74205172	-282.952380971	30.6178989577
4.9	2010.84006797	-280.169516788	27.8115952911
4.95	2136.85219768	-281.904461786	29.554448146
5.0	1839.56460221	-277.592682618	25.4427127464
5.05	2050.21069364	-280.627383134	28.3561238813
5.1	2021.58371369	-280.235632287	27.9601888722
5.15	1957.5831719	-279.29904135	27.0750079993
5.2	1895.27977649	-278.405574279	26.2133000763
5.25	1975.96639478	-279.562808721	27.3292633043
5.3	2007.6434991	-280.011732116	27.7673840775
5.35	1737.91075497	-276.207089076	24.0367552543
5.4	2016.73536453	-280.13645947	27.8931321594
5.45	2051.51491633	-280.688629041	28.3741623689
5.5	2013.09590114	-280.190960931	27.8427953454
5.55	2188.32903869	-282.56344275	30.2664157917
5.6	2213.93813083	-282.870794245	30.6206108953
5.65	2127.13060078	-281.722974655	29.4199903526
5.7	2099.64926633	-281.350173421	29.0399005762
5.75	1919.90718746	-278.747308187	26.5539177106
5.8	2177.00732197	-282.438325731	30.1098270065
5.85	2143.06351342	-281.91666937	29.6403558233
5.9	2026.00555056	-280.337702173	28.0213465641
5.95	2065.35549843	-280.982488317	28.5655891631
6.0	1881.39072035	-278.273262329	26.0212028456
6.05	2075.44245629	-280.909917486	28.7051002035
6.1	2025.7423821	-280.409590209	28.0177067249
6.15	2075.581527	-281.108702305	28.7070236673
6.2	1929.57105194	-278.972530591	26.6875770165
6.25	2221.73638895	-283.002224703	30.7284673094
6.3	1952.42488414	-279.219300368	27.0036645773
6.35	1963.08989663	-279.394132687	27.1511705952
6.4	2039.23654954	-280.488387384	28.2043423155
6.45	1850.00695951	-277.785909357	25.5871392574
6.5	2162.41867958	-282.214815592	29.9080539145
6.55	1991.74127945	-279.857874532	27.5474431163
6.6	1858.40757372	-278.041605637	25.7033267585
6.65	1816.39123009	-277.383073469	25.1222056821
6.7	1896.14130525	-278.495339223	26.2252157375
6.75	2143.77380387	-282.005424284	29.6501797326
6.8	2039.44909273	-280.491803623	28.207281965
6.85	1853.25211043	-277.82298379	25.6320224013
6.9	2065.29128843	-280.817591811	28.5647010854
6.95	2032.10139355	-280.364753391	28.105657157
7.0	2069.52006987	-280.926745289	28.6231886597
7.05	2193.80602087	-282.634577333	30.3421670234
7.1	1931.91037928	-278.903638568	26.7199318648
7.15	2117.80489109	-281.537650275	29.2910080093
7.2	2138.25900125	-281.868924114	29.5739054127
7.25	2091.2726732	-281.260756454	28.9240453067
7.3	2190.8262062	-282.600251128	30.3009537011
7.35	2020.94056474	-280.208440619	27.9512935857
7.4	2077.13463126	-281.01335159	28.7285043946
7.45	1766.42294466	-276.604871332	24.4311026184
7.5	2168.28142939	-282.310604651	29.9891406343
7.55	1922.25329363	-278.81868389	26.5863663157
