2.088 2.72605363 -10.40540873
2.088 2.79454022 -10.58985245
2.088 2.86350574 -10.75448942
2.088 2.93199233 -10.90408578
2.088 3.00095785 -11.03667145
2.088 3.06944444 -11.15844269
2.088 3.13840996 -11.26680444
2.088 3.20689655 -11.36375169
2.088 3.27538314 -11.45565417
2.088 3.34434865 -11.53985194
2.088 3.41283524 -11.61529622
2.088 3.48180076 -11.68570460
2.088 3.55028735 -11.75032240
2.088 3.61925287 -11.81099362
2.088 3.68773946 -11.86636363
2.140 2.65981308 -13.25826407
2.140 2.72663551 -13.43723198
2.140 2.79392523 -13.59803947
2.140 2.86074766 -13.73745974
2.140 2.92803738 -13.86672555
2.140 2.99485981 -13.98296360
2.140 3.06214953 -14.08722521
2.140 3.12897196 -14.18156934
2.140 3.19579439 -14.26652310
2.140 3.26308411 -14.34584088
2.140 3.32990654 -14.41499770
2.140 3.39719626 -14.48088414
2.140 3.46401869 -14.53997108
2.140 3.53130841 -14.59649032
2.140 3.59813084 -14.64805691
2.193 2.59553123 -16.00501608
2.193 2.66073871 -16.17833388
2.193 2.72640218 -16.33248130
2.193 2.79160966 -16.46948396
2.193 2.85727314 -16.59317207
2.193 2.92248062 -16.70421753
2.193 2.98814409 -16.80608246
2.193 3.05335157 -16.89510275
2.193 3.11855905 -16.97582731
2.193 3.18422252 -17.05034751
2.193 3.24943000 -17.11635785
2.193 3.31509347 -17.17729571
2.193 3.38030095 -17.23362216
2.193 3.44596443 -17.28432163
2.193 3.51117191 -17.32941629
2.245 2.53541202 -18.53107782
2.245 2.59910913 -18.70322537
2.245 2.66325167 -18.85447994
2.245 2.72694877 -18.98638628
2.245 2.79109131 -19.10663617
2.245 2.85478841 -19.21368920
2.245 2.91893095 -19.30956765
2.245 2.98262806 -19.39581233
2.245 3.04632516 -19.47364266
2.245 3.11046770 -19.54435894
2.245 3.17416481 -19.60681124
2.245 3.23830734 -19.66327696
2.245 3.30200445 -19.71590742
2.245 3.36614699 -19.76298972
2.245 3.42984409 -19.80522582
2.298 2.47693646 -20.92887502
2.298 2.53916449 -21.09714179
2.298 2.60182767 -21.24511519
2.298 2.66405570 -21.37434076
2.298 2.72671888 -21.49077500
2.298 2.78894691 -21.59463231
2.298 2.85161009 -21.68803129
2.298 2.91383812 -21.76962691
2.298 2.97606614 -21.84456728
2.298 3.03872932 -21.91236384
2.298 3.10095735 -21.97281834
2.298 3.16362053 -22.02719752
2.298 3.22584856 -22.07655396
2.298 3.28851174 -22.12093291
2.298 3.35073977 -22.15987492
2.351 2.42109740 -23.14420280
2.351 2.48192258 -23.31099648
2.351 2.54317311 -23.45750414
2.351 2.60399829 -23.58499346
2.351 2.66524883 -23.69878703
2.351 2.72607401 -23.80002654
2.351 2.78732454 -23.89140046
2.351 2.84814972 -23.97073263
2.351 2.90897490 -24.04251512
2.351 2.97022543 -24.10706196
2.351 3.03105061 -24.16452249
2.351 3.09230114 -24.21601220
2.351 3.15312632 -24.26392134
2.351 3.21437686 -24.30598445
2.351 3.27520204 -24.34307120
2.403 2.36870578 -25.14807739
2.403 2.42821473 -25.31584027
2.403 2.48813982 -25.46123899
2.403 2.54764877 -25.58771227
2.403 2.60757386 -25.70022575
2.403 2.66708281 -25.80025741
2.403 2.72700790 -25.88903255
2.403 2.78651685 -25.96676334
2.403 2.84602580 -26.03645926
2.403 2.90595089 -26.09909590
2.403 2.96545984 -26.15423669
2.403 3.02538493 -26.20377565
2.403 3.08489388 -26.24882659
2.403 3.14481897 -26.29024234
2.403 3.20432792 -26.32569495
2.456 2.31758957 -27.02589942
2.456 2.37581433 -27.19359809
2.456 2.43444625 -27.33894231
2.456 2.49267100 -27.46505161
2.456 2.55130293 -27.57654359
2.456 2.60952768 -27.67591822
2.456 2.66815960 -27.76357371
2.456 2.72638436 -27.84075677
2.456 2.78460912 -27.90831813
2.456 2.84324104 -27.97004918
2.456 2.90146579 -28.02323975
2.456 2.96009771 -28.07125699
2.456 3.01832247 -28.11479101
2.456 3.07695439 -28.15356861
2.456 3.13517915 -28.18755851
2.509 2.26863292 -28.74799451
2.509 2.32562774 -28.91625883
2.509 2.38302112 -29.06247024
2.509 2.44001594 -29.18900243
2.509 2.49740932 -29.30109984
2.509 2.55440414 -29.39984796
