# distance     RDF     integral
0.030638  0.000000  0.000000
0.091913  0.000000  0.000000
0.153188  0.000000  0.000000
0.214463  0.000000  0.000000
0.275738  0.000000  0.000000
0.337012  0.000000  0.000000
0.398288  0.000000  0.000000
0.459563  0.000000  0.000000
0.520838  0.000000  0.000000
0.582113  0.000000  0.000000
0.643388  0.000000  0.000000
0.704663  0.000000  0.000000
0.765938  0.000000  0.000000
0.827213  0.000000  0.000000
0.888488  0.000000  0.000000
0.949763  0.000000  0.000000
1.011038  0.000000  0.000000
1.072313  0.000000  0.000000
1.133587  0.000000  0.000000
1.194863  0.000000  0.000000
1.256138  0.000000  0.000000
1.317413  0.000000  0.000000
1.378688  0.000000  0.000000
1.439963  0.000000  0.000000
1.501238  0.000000  0.000000
1.562512  0.000000  0.000000
1.623788  0.000000  0.000000
1.685063  0.000000  0.000000
1.746338  0.000000  0.000000
1.807613  0.000000  0.000000
1.868888  0.000000  0.000000
1.930163  0.000000  0.000000
1.991438  0.000000  0.000000
2.052713  0.000000  0.000000
2.113987  0.000000  0.000000
2.175263  0.005774  0.001235
2.236538  0.030041  0.008025
2.297813  0.103493  0.032716
2.359088  0.306222  0.109722
2.420362  0.718831  0.300000
2.481638  1.246653  0.646914
2.542912  1.813696  1.176852
2.604188  2.358850  1.899691
2.665463  2.672751  2.757716
2.726738  2.879661  3.725154
2.788013  2.847627  4.725309
2.849287  2.733622  5.728086
2.910563  2.497177  6.683951
2.971838  2.164015  7.547531
3.033113  1.908551  8.340895
3.094388  1.622558  9.042901
3.155663  1.355065  9.652623
3.216938  1.109221  10.171296
3.278212  0.948331  10.631790
3.339488  0.809725  11.039815
3.400763  0.657664  11.383488
3.462038  0.577315  11.696142
3.523313  0.540626  11.999383
3.584588  0.478444  12.277160
3.645863  0.461213  12.554167
3.707137  0.452803  12.835340
3.768413  0.468260  13.135802
3.829688  0.469464  13.446914
3.890963  0.501718  13.790123
3.952238  0.524765  14.160494
4.013513  0.554662  14.564198
4.074788  0.550448  14.977160
4.136063  0.590560  15.433642
4.197338  0.606400  15.916358
4.258612  0.632013  16.434259
4.319888  0.660332  16.991049
4.381163  0.737186  17.630401
4.442438  0.804559  18.347840
4.503712  0.892265  19.165586
4.564987  0.974840  20.083488
4.626263  1.076533  21.124537
4.687538  1.182714  22.298765
4.748813  1.288999  23.612191
4.810087  1.393061  25.068519
4.871363  1.433510  26.605556
4.932638  1.485990  28.239198
4.993913  1.512197  29.943210
5.055188  1.443818  31.610340
5.116462  1.417402  33.286883
5.177738  1.360102  34.934414
5.239013  1.312296  36.561883
5.300288  1.213440  38.102160
5.361563  1.147130  39.592130
5.422837  1.100564  41.054475
5.484113  1.050557  42.482099
5.545388  0.988151  43.855093
5.606663  0.946461  45.199383
5.667937  0.915477  46.528241
5.729213  0.893710  47.853704
5.790488  0.872145  49.175000
5.851763  0.857467  50.501698
5.913038  0.865577  51.869136
5.974312  0.881691  53.291049
6.035588  0.883006  54.744444
6.096863  0.899343  56.254938
