# distance     RDF     integral
0.030638  0.000000  0.000000
0.091913  0.000000  0.000000
0.153188  0.000000  0.000000
0.214463  0.000000  0.000000
0.275738  0.000000  0.000000
0.337012  0.000000  0.000000
0.398288  0.000000  0.000000
0.459563  0.000000  0.000000
0.520838  0.000000  0.000000
0.582113  0.000000  0.000000
0.643388  0.000000  0.000000
0.704663  0.000000  0.000000
0.765938  0.000000  0.000000
0.827213  0.000000  0.000000
0.888488  0.000000  0.000000
0.949763  0.000000  0.000000
1.011038  0.000000  0.000000
1.072313  0.000000  0.000000
1.133587  0.000000  0.000000
1.194863  0.000000  0.000000
1.256138  0.000000  0.000000
1.317413  0.000000  0.000000
1.378688  0.000000  0.000000
1.439963  0.000000  0.000000
1.501238  0.000000  0.000000
1.562512  0.000000  0.000000
1.623788  0.000000  0.000000
1.685063  0.000000  0.000000
1.746338  0.000000  0.000000
1.807613  0.000000  0.000000
1.868888  0.000000  0.000000
1.930163  0.000000  0.000000
1.991438  0.000000  0.000000
2.052713  0.000000  0.000000
2.113987  0.001528  0.000309
2.175263  0.005052  0.001389
2.236538  0.020483  0.006019
2.297813  0.094438  0.028549
2.359088  0.308676  0.106173
2.420362  0.680354  0.286265
2.481638  1.228907  0.628241
2.542912  1.852780  1.169599
2.604188  2.348778  1.889352
2.665463  2.685730  2.751543
2.726738  2.911356  3.729630
2.788013  2.848066  4.729938
2.849287  2.701650  5.720988
2.910563  2.530236  6.689506
2.971838  2.194565  7.565278
3.033113  1.904096  8.356790
3.094388  1.626839  9.060648
3.155663  1.378730  9.681019
3.216938  1.139584  10.213889
3.278212  0.944517  10.672531
3.339488  0.779100  11.065123
3.400763  0.665637  11.412963
3.462038  0.565917  11.719444
3.523313  0.514764  12.008179
3.584588  0.456383  12.273148
3.645863  0.444512  12.540123
3.707137  0.465477  12.829167
3.768413  0.457438  13.122685
3.829688  0.475519  13.437809
3.890963  0.512095  13.788117
3.952238  0.504430  14.144136
4.013513  0.535579  14.533951
4.074788  0.573280  14.964043
4.136063  0.600942  15.428549
4.197338  0.621134  15.922994
4.258612  0.638416  16.446142
4.319888  0.674974  17.015278
4.381163  0.703378  17.625309
4.442438  0.774447  18.315895
4.503712  0.864482  19.108179
4.564987  0.974348  20.025617
4.626263  1.062969  21.053549
4.687538  1.175564  22.220679
4.748813  1.292179  23.537346
4.810087  1.399999  25.000926
4.871363  1.466325  26.573148
4.932638  1.497360  28.219290
4.993913  1.528220  29.941358
5.055188  1.501689  31.675309
5.116462  1.444930  33.384414
5.177738  1.372077  35.046451
5.239013  1.309186  36.670062
5.300288  1.207483  38.202778
5.361563  1.140596  39.684259
5.422837  1.074896  41.112500
5.484113  1.019214  42.497531
5.545388  0.977489  43.855710
5.606663  0.960477  45.219907
5.667937  0.924407  46.561728
5.729213  0.874148  47.858179
5.790488  0.868478  49.173920
5.851763  0.860460  50.505247
5.913038  0.850533  51.848920
5.974312  0.851740  53.222531
6.035588  0.886100  54.681019
6.096863  0.883540  56.164969
