# distance     RDF     integral
0.030638  0.000000  0.000000
0.091913  0.000000  0.000000
0.153188  0.000000  0.000000
0.214463  0.000000  0.000000
0.275738  0.000000  0.000000
0.337012  0.000000  0.000000
0.398288  0.000000  0.000000
0.459563  0.000000  0.000000
0.520838  0.000000  0.000000
0.582113  0.000000  0.000000
0.643388  0.000000  0.000000
0.704663  0.000000  0.000000
0.765938  0.000000  0.000000
0.827213  0.000000  0.000000
0.888488  0.000000  0.000000
0.949763  0.000000  0.000000
1.011038  0.000000  0.000000
1.072313  0.000000  0.000000
1.133587  0.000000  0.000000
1.194863  0.000000  0.000000
1.256138  0.000000  0.000000
1.317413  0.000000  0.000000
1.378688  0.000000  0.000000
1.439963  0.000000  0.000000
1.501238  0.000000  0.000000
1.562512  0.000000  0.000000
1.623788  0.000000  0.000000
1.685063  0.000000  0.000000
1.746338  0.000000  0.000000
1.807613  0.000000  0.000000
1.868888  0.000000  0.000000
1.930163  0.000000  0.000000
1.991438  0.000000  0.000000
2.052713  0.000000  0.000000
2.113987  0.000000  0.000000
2.175263  0.000000  0.000000
2.236538  0.002048  0.000463
2.297813  0.009703  0.002778
2.359088  0.076709  0.022068
2.420362  0.261181  0.091204
2.481638  0.698192  0.285494
2.542912  1.320396  0.671296
2.604188  2.020433  1.290432
2.665463  2.803504  2.190432
2.726738  3.309152  3.302160
2.788013  3.430685  4.507099
2.849287  3.386948  5.749537
2.910563  3.122076  6.944599
2.971838  2.668668  8.009568
3.033113  2.226705  8.935185
3.094388  1.806964  9.716975
3.155663  1.397936  10.345988
3.216938  1.041896  10.833179
3.278212  0.778941  11.211420
3.339488  0.576669  11.502006
3.400763  0.433521  11.728549
3.462038  0.363315  11.925309
3.523313  0.289435  12.087654
3.584588  0.281219  12.250926
3.645863  0.289061  12.424537
3.707137  0.344945  12.638735
3.768413  0.417033  12.906327
3.829688  0.482738  13.226235
3.890963  0.543001  13.597685
3.952238  0.587299  14.012191
4.013513  0.636716  14.475617
4.074788  0.676746  14.983333
4.136063  0.654647  15.489352
4.197338  0.622491  15.984877
4.258612  0.603576  16.479475
4.319888  0.556926  16.949074
4.381163  0.549108  17.425309
4.442438  0.572312  17.935648
4.503712  0.644404  18.526235
4.564987  0.750469  19.232870
4.626263  0.956848  20.158179
4.687538  1.134063  21.284105
4.748813  1.376235  22.686420
4.810087  1.536102  24.292284
4.871363  1.737483  26.155247
4.932638  1.825553  28.162191
4.993913  1.852928  30.250154
5.055188  1.785694  32.312037
5.116462  1.639719  34.251543
5.177738  1.520878  36.093827
5.239013  1.307568  37.715432
5.300288  1.166147  39.195679
5.361563  1.032596  40.536883
5.422837  0.910323  41.746451
5.484113  0.874309  42.934568
5.545388  0.842766  44.105556
5.606663  0.819122  45.268981
5.667937  0.833083  46.478241
5.729213  0.823578  47.699691
5.790488  0.814389  48.933488
5.851763  0.813083  50.191512
5.913038  0.813511  51.476698
5.974312  0.812603  52.787191
6.035588  0.820001  54.136883
6.096863  0.875638  55.607562
