# 	 t 	 T	E	K
2.02	1018.11193546	-306.98303856	14.0813372287
2.04	1074.17975506	-307.774550737	14.8568019374
2.06	1086.72523156	-307.961645825	15.030316341
2.08	1006.04283345	-306.839696109	13.9144114816
2.1	898.605251912	-305.316735917	12.4284601201
2.12	878.01701108	-305.055773102	12.1437075776
2.14	886.218809014	-305.155471993	12.2571452838
2.16	960.507974309	-306.180112321	13.2846264011
2.18	1064.66587945	-307.679471432	14.7252171026
2.2	1010.47108817	-306.894186127	13.9756579378
2.22	913.422484788	-305.509146865	12.6333948091
2.24	960.765597886	-306.189909683	13.28818955
2.26	1056.91215198	-307.560493568	14.6179765846
2.28	1039.99348878	-307.296724412	14.3839773614
2.3	995.809925491	-306.666694195	13.7728818297
2.32	996.992654111	-306.697265792	13.789239953
2.34	1008.07797597	-306.843977643	13.9425592
2.36	1024.39730586	-307.077371581	14.1682691436
2.38	1022.25036654	-307.044027677	14.1385751821
2.4	1004.31695269	-306.796521384	13.8905411112
2.42	955.75395979	-306.144078004	13.2188744152
2.44	853.387051722	-304.683328091	11.803054697
2.46	852.036628368	-304.671966167	11.7843772157
2.48	932.577855136	-305.826732475	12.8983295577
2.5	946.809862584	-306.007515565	13.095170091
2.52	928.4909082	-305.74367818	12.8418036728
2.54	951.531978373	-306.066842961	13.1604808908
2.56	993.214681872	-306.658193643	13.7369874459
2.58	998.26404523	-306.714524722	13.8068243526
2.6	998.88189777	-306.724818802	13.8153697685
2.62	1006.7184653	-306.833408646	13.9237560336
2.64	1008.77975734	-306.865671536	13.9522654217
2.66	982.317371071	-306.486067102	13.5862685485
2.68	962.645099198	-306.224589588	13.3141846208
2.7	939.177516696	-305.889499733	12.9896083815
2.72	953.908479664	-306.089627993	13.1933498858
2.74	1010.59055906	-306.89551417	13.9773103198
2.76	1028.07161461	-307.141766593	14.2190878982
2.78	980.215936113	-306.464486389	13.5572039504
2.8	928.241486281	-305.737866887	12.8383539596
2.82	923.076663422	-305.668641314	12.7669201518
2.84	972.146962206	-306.353525542	13.4456033113
2.86	1027.20234965	-307.142994197	14.2070652389
2.88	999.834413392	-306.739197457	13.828543854
2.9	970.795974324	-306.316213918	13.4269180221
2.92	999.705590802	-306.752180989	13.8267621302
2.94	981.486861616	-306.492675715	13.5747819101
2.96	942.142638863	-305.925813637	13.0306184942
2.98	958.592888309	-306.172986734	13.2581391644
3.0	979.296463828	-306.454450652	13.5444868818
3.02	1008.97287794	-306.854199743	13.9549364406
3.04	1060.79805928	-307.599725959	14.6717219236
3.06	1040.93289321	-307.315934233	14.3969701083
3.08	978.931808938	-306.429411584	13.5394434005
3.1	982.805563711	-306.504231682	13.5930206599
3.12	986.315729179	-306.56395465	13.641569176
3.14	940.208425575	-305.900948299	13.0038667112
3.16	924.925869981	-305.694750533	12.7924962208
3.18	940.368844249	-305.906774715	13.0060854352
3.2	970.837586157	-306.333495012	13.4274935484
3.22	990.20180066	-306.607496049	13.6953167858
3.24	976.688795288	-306.410108257	13.5084206509
3.26	961.39984994	-306.206708194	13.2969617849
3.28	928.34225695	-305.753076417	12.839747702
3.3	893.365435806	-305.243946663	12.355989093
3.32	927.886852114	-305.747552197	12.8334490733
3.34	963.096276104	-306.230158537	13.3204247737
3.36	994.803063646	-306.666815454	13.7589560906
3.38	1042.35123647	-307.321637885	14.4165869786
3.4	1097.31985853	-308.102359129	15.1768488684
3.42	1093.46418938	-308.040267498	15.1235217484
3.44	1050.81722487	-307.43777591	14.5336786592
3.46	1021.2817091	-307.034317917	14.1251778419
3.48	992.671420644	-306.646215014	13.72947369
3.5	943.506492776	-305.951320871	13.0494817313
3.52	922.98916663	-305.663285819	12.7657099981
3.54	939.568770685	-305.908337279	12.9950197505
3.56	934.18135752	-305.833392879	12.920507333
3.58	897.230732659	-305.318596224	12.4094493724
3.6	855.28809656	-304.71355959	11.8293477327
3.62	900.846744102	-305.345481036	12.4594618266
3.64	1013.11033423	-306.939803661	14.012160912
3.66	1042.13687815	-307.331142796	14.4136222242
3.68	1001.6422171	-306.760760224	13.8535472871
3.7	945.851179234	-305.985282178	13.0819107006
3.72	926.589016876	-305.697898817	12.8154989295
3.74	994.584957853	-306.67755274	13.7559395056
3.76	1022.30852238	-307.068504158	14.139379526
3.78	966.122771948	-306.264981142	13.3622837355
3.8	936.923026352	-305.839051729	12.9584268997
3.82	1021.85536022	-307.033848865	14.1331119153
3.84	1131.76062089	-308.605206927	15.6531933374
3.86	1077.27693825	-307.839605487	14.8996385641
3.88	917.010041949	-305.560844009	12.6830137169
3.9	885.876542096	-305.150582424	12.2524114469
3.92	936.146697734	-305.868162238	12.9476896274
3.94	976.654142137	-306.416340422	13.5079413689
3.96	1001.66290632	-306.780075061	13.8538334362
3.98	967.938604506	-306.286819744	13.3873982143
4.0	966.569852714	-306.267942411	13.3684672354
4.02	998.54845728	-306.736293996	13.8107580084
4.04	981.503083186	-306.480116548	13.5750062679
4.06	956.538134087	-306.14007095	13.2297201998
4.08	926.063570581	-305.713916865	12.808231569
4.1	924.890918812	-305.67818864	12.792012817
4.12	1008.91476138	-306.859509637	13.9541326402
4.14	1105.27042444	-308.208878947	15.2868118262
4.16	1118.30330619	-308.398841459	15.467067451
4.18	1011.88481456	-306.908734971	13.9952109529
4.2	884.590651708	-305.115098612	12.2346265103
4.22	872.329205761	-304.959061939	12.0650404861
4.24	929.424247278	-305.778085136	12.8547125307
4.26	942.740976736	-305.949703618	13.038894006
4.28	937.913942046	-305.871353058	12.9721320902
4.3	967.963959038	-306.285647379	13.3877488886
