# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.182588   0.338435
0.499583   0.169077   -0.066266
0.749375   0.149482   -0.015130
0.999167   0.161518   0.004258
1.248958   0.151609   -0.007433
1.498750   0.157804   0.011070
1.748542   0.157140   -0.007760
1.998333   0.153928   0.000950
2.248125   0.157614   0.010812
2.497917   0.159329   -0.010939
2.747708   0.152149   -0.004279
2.997500   0.157192   0.015240
3.247292   0.159763   -0.002994
3.497083   0.155696   0.000614
3.746875   0.160069   -0.000856
3.996667   0.155268   -0.015743
4.246458   0.152204   0.002145
4.496250   0.156340   0.010969
4.746042   0.157684   -0.003165
4.995833   0.154759   -0.008892
5.245625   0.153242   0.003205
5.495417   0.156360   -0.001167
5.745208   0.152659   -0.013735
5.995000   0.149498   0.011798
6.244792   0.158553   0.018875
6.494583   0.158928   -0.008860
6.744375   0.154126   -0.008380
6.994167   0.154741   -0.006755
7.243958   0.150752   0.003640
7.493750   0.156560   0.005846
7.743542   0.153673   -0.007591
7.993333   0.152768   -0.003957
8.243125   0.151696   -0.004419
8.492917   0.150560   0.001251
8.742708   0.152321   0.010206
8.992500   0.155659   0.006205
9.242292   0.155421   -0.001987
9.492083   0.154666   -0.007647
9.741875   0.151600   -0.008837
9.991667   0.150252   0.006003
10.241458   0.154600   0.003002
10.491250   0.151752   -0.002495
10.741042   0.153353   -0.006259
10.990833   0.148625   -0.018357
11.240625   0.144182   0.006411
11.490417   0.151828   0.013869
11.740208   0.151111   -0.003818
11.990000   0.149920   0.011696
12.239792   0.156954   0.021188
12.489583   0.160506   -0.017613
12.739375   0.148155   -0.012184
12.989167   0.154419   0.027646
13.238958   0.161966   0.008294
13.488750   0.158562   -0.011668
13.738542   0.156137   -0.017559
13.988333   0.149790   -0.003321
14.238125   0.154478   0.015502
14.487917   0.157535   0.001383
14.737708   0.155169   -0.000140
14.987500   0.157465   -0.000525
15.237292   0.154907   -0.005858
15.487083   0.154538   0.001408
15.736875   0.155610   0.008560
15.986667   0.158814   -0.004576
16.236458   0.153324   -0.010208
16.486250   0.153715   0.004423
16.736042   0.155533   -0.005529
16.985833   0.150953   -0.007113
17.235625   0.151980   0.007252
17.485417   0.154575   0.000563
17.735208   0.152261   -0.004569
17.985000   0.152293   0.012742
18.234792   0.158627   0.005992
18.484583   0.155286   -0.004114
18.734375   0.156571   -0.001911
18.984167   0.154331   -0.007903
19.233958   0.152623   -0.004060
19.483750   0.152303   0.000899
19.733542   0.153072   -0.000470
19.983333   0.152068   -0.002556
20.233125   0.151795   0.005761
20.482917   0.154946   0.010431
20.732708   0.157006   -0.012114
20.982500   0.148894   -0.004878
21.232292   0.154569   0.021176
21.482083   0.159473   0.003257
21.731875   0.156197   -0.013647
21.981667   0.152655   -0.004240
22.231458   0.154078   0.007080
22.481250   0.156192   0.006061
22.731042   0.157106   -0.017164
22.980833   0.147617   -0.017309
23.230625   0.148459   0.007418
23.480417   0.151324   0.005876
23.730208   0.151395   0.006487
23.980000   0.154564   -0.000164
24.229792   0.151313   -0.018075
24.479583   0.145535   -0.002040
24.729375   0.150294   0.011487
24.979167   0.151273   0.000967
25.228958   0.150777   -0.007269
25.478750   0.147642   -0.009981
25.728542   0.145791   0.001356
25.978333   0.148319   -0.001170
26.228125   0.145206   -0.003651
26.477917   0.146495   0.011377
26.727708   0.150890   -0.000138
26.977500   0.146426   -0.004975
27.227292   0.148404   0.002858
27.477083   0.147854   -0.006135
27.726875   0.145339   0.011063
27.976667   0.153381   0.013087
28.226458   0.151877   -0.014311
28.476250   0.146231   -0.004991
28.726042   0.149383   0.020187
28.975833   0.156316   -0.002671
29.225625   0.148049   -0.019580
29.475417   0.146534   0.004314
29.725208   0.150204   0.011963
29.975000   0.152511   -0.006796
30.224792   0.146809   -0.011513
30.474583   0.146759   0.021279
30.724375   0.157440   0.000724
30.974167   0.147121   -0.016564
31.223958   0.149165   0.006829
31.473750   0.150533   -0.007486
31.723542   0.145425   -0.000903
31.973333   0.150081   0.007912
32.223125   0.149378   0.001077
