# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.175906   0.324413
0.499583   0.162071   -0.056524
0.749375   0.147668   -0.012228
0.999167   0.155962   0.021358
1.248958   0.158338   0.007456
1.498750   0.159687   -0.007488
1.748542   0.154597   -0.005075
1.998333   0.157152   0.003695
2.248125   0.156442   0.001718
2.497917   0.158010   0.004001
2.747708   0.158441   0.006957
2.997500   0.161486   -0.002418
3.247292   0.157233   -0.005798
3.497083   0.158589   0.019143
3.746875   0.166796   -0.008419
3.996667   0.154383   -0.024949
4.246458   0.154332   0.014308
4.496250   0.161531   0.006545
4.746042   0.157602   -0.005111
4.995833   0.158978   0.006458
5.245625   0.160828   -0.004695
5.495417   0.156632   -0.012927
5.745208   0.154370   0.006188
5.995000   0.159724   -0.000668
6.244792   0.154037   -0.003162
6.494583   0.158144   0.005833
6.744375   0.156950   -0.010674
6.994167   0.152812   0.000006
7.243958   0.156953   0.009768
7.493750   0.157692   -0.011704
7.743542   0.151106   0.003267
7.993333   0.159324   0.006777
8.243125   0.154492   -0.004496
8.492917   0.157077   -0.004417
8.742708   0.152285   -0.012259
8.992500   0.150953   0.000291
9.242292   0.152430   -0.001007
9.492083   0.150450   0.005932
9.741875   0.155394   0.007866
9.991667   0.154380   -0.000851
10.241458   0.154968   -0.006102
10.491250   0.151331   0.003836
10.741042   0.156885   -0.002943
10.990833   0.149861   -0.005398
11.240625   0.154188   0.013299
11.490417   0.156505   0.007252
11.740208   0.157811   -0.009589
11.990000   0.151715   -0.007463
12.239792   0.154082   0.009491
12.489583   0.156456   0.004436
12.739375   0.156298   -0.000417
12.989167   0.156248   -0.004685
13.238958   0.153958   -0.007841
13.488750   0.152330   0.001640
13.738542   0.154777   0.013980
13.988333   0.159314   -0.006452
14.238125   0.151554   -0.010649
14.487917   0.153994   0.014768
14.737708   0.158932   0.004070
14.987500   0.156027   -0.015499
15.237292   0.151189   0.000191
15.487083   0.156123   0.004008
15.736875   0.153191   -0.001472
15.986667   0.155388   0.007602
16.236458   0.156989   -0.011752
16.486250   0.149516   -0.005166
16.736042   0.154408   0.016533
16.985833   0.157776   -0.001880
17.235625   0.153468   -0.009014
17.485417   0.153273   0.009918
17.735208   0.158423   0.002322
17.985000   0.154433   -0.002052
18.234792   0.157398   -0.004298
18.484583   0.152286   -0.006090
18.734375   0.154356   0.025582
18.984167   0.165066   -0.006651
19.233958   0.151033   -0.016831
19.483750   0.156658   0.017269
19.733542   0.159660   -0.008410
19.983333   0.152456   0.002490
20.233125   0.160904   0.015632
20.482917   0.160266   -0.011910
20.732708   0.154954   -0.007151
20.982500   0.156693   0.004997
21.232292   0.157450   -0.001538
21.482083   0.155925   -0.003677
21.731875   0.155614   0.008116
21.981667   0.159979   0.003548
22.231458   0.157386   -0.002626
22.481250   0.158667   0.004877
22.731042   0.159823   -0.002820
22.980833   0.157258   -0.007754
23.230625   0.155949   -0.006160
23.480417   0.154181   -0.004842
23.730208   0.153530   0.007801
23.980000   0.158078   0.003874
24.229792   0.155466   -0.008622
24.479583   0.153771   -0.000086
24.729375   0.155423   0.008139
24.979167   0.157837   0.008153
25.228958   0.159496   -0.004399
25.478750   0.155639   0.012295
25.728542   0.165638   0.026812
25.978333   0.169034   -0.012279
26.228125   0.159504   -0.014468
26.477917   0.161806   0.006878
26.727708   0.162940   0.012305
26.977500   0.167954   0.005507
27.227292   0.165691   -0.018605
27.477083   0.158659   0.008932
27.726875   0.170154   0.018464
27.976667   0.167883   -0.011600
28.226458   0.164358   0.005721
28.476250   0.170741   0.003312
28.726042   0.166013   0.008280
28.975833   0.174878   0.005657
29.225625   0.168839   -0.023071
29.475417   0.163352   0.003642
29.725208   0.170659   0.019851
29.975000   0.173269   -0.006120
30.224792   0.167601   -0.022382
30.474583   0.162087   -0.018059
30.724375   0.158579   0.004438
30.974167   0.164304   0.007952
31.223958   0.162552   -0.007725
31.473750   0.160445   0.006723
31.723542   0.165911   0.001124
31.973333   0.161006   -0.008155
32.223125   0.161837   0.006953
32.472917   0.164480   -0.001316
32.722708   0.161180   -0.007441
32.972500   0.160763   -0.000031
33.222292   0.161164   -0.002443
33.472083   0.159542   -0.001345
33.721875   0.160492   0.000638
33.971667   0.159861   0.003462
34.221458   0.162222   -0.004811
34.471250   0.157457   -0.003469
34.721042   0.160488   0.002728
34.970833   0.158820   -0.003748
35.220625   0.158616   -0.002387
35.470417   0.157627   0.003966
35.720208   0.160597   0.008545
35.970000   0.161896   -0.001065
36.219792   0.160065   -0.012767
36.469583   0.155518   0.001090
36.719375   0.160610   0.011673
36.969167   0.161349   -0.014983
37.218958   0.153125   -0.004061
37.468750   0.159321   -0.006287
37.718542   0.149984   -0.003079
37.968333   0.157782   0.015046
38.218125   0.157500   -0.003474
38.467917   0.156046   0.002001
38.717708   0.158500   0.000287
38.967500   0.156190   -0.001720
39.217292   0.157641   0.005306
39.467083   0.158840   0.003158
39.716875   0.159218   -0.011389
39.966667   0.153151   -0.007891
40.216458   0.155276   0.004857
40.466250   0.155577   0.004048
40.716042   0.157298   -0.001101
40.965833   0.155027   0.006928
41.215625   0.160759   0.009250
41.465417   0.159648   -0.013182
41.715208   0.154174   -0.012853
41.965000   0.153227   -0.001802
42.214792   0.153273   0.013954
42.464583   0.160198   0.013125
42.714375   0.159831   -0.014686
42.964167   0.152861   -0.012967
43.213958   0.153353   0.005944
43.463750   0.155830   0.014211
43.713542   0.160452   -0.000242
43.963333   0.155710   -0.007626
44.213125   0.156642   0.000227
44.462917   0.155823   0.007704
44.712708   0.160491   -0.003623
44.962500   0.154013   -0.003464
45.212292   0.158761   0.005760
45.462083   0.156891   -0.010143
45.711875   0.153694   -0.009652
45.961667   0.152068   -0.001293
46.211458   0.153048   0.003868
46.461250   0.154001   -0.005270
46.711042   0.150415   0.002964
46.960833   0.155482   0.008762
47.210625   0.154792   -0.006049
47.460417   0.152460   -0.011140
47.710208   0.149227   -0.003070
47.960000   0.150926   0.008988
48.209792   0.153717   0.003094
48.459583   0.152472   -0.004712
48.709375   0.151364   0.006040
48.959167   0.155489   0.005964
49.208958   0.154343   -0.003318
49.458750   0.153832   -0.003797
49.708542   0.152446   -0.008432
49.958333   0.149619   0.000920
50.208125   0.152906   0.007233
50.457917   0.153233   -0.001972
50.707708   0.151921   0.003999
50.957500   0.155231   0.010255
51.207292   0.157044   0.004896
51.457083   0.157677   0.008433
51.706875   0.161257   -0.000951
51.956667   0.157202   -0.015358
52.206458   0.153584   0.005624
52.456250   0.160012   0.013665
52.706042   0.160411   0.001087
52.955833   0.160555   -0.010837
53.205625   0.154997   -0.002764
53.455417   0.159174   0.015923
53.705208   0.162952   0.003170
53.955000   0.160757   -0.002242
54.204792   0.161832   -0.002662
54.454583   0.159428   -0.006383
54.704375   0.158643   -0.003140
