# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.218516   0.743354
0.499583   0.371367   0.581646
0.749375   0.509096   0.535322
0.999167   0.638805   0.516274
1.248958   0.767018   0.513266
1.498750   0.895224   0.519066
1.748542   1.026335   0.526546
1.998333   1.158278   0.523061
2.248125   1.287647   0.522242
2.497917   1.419182   0.507676
2.747708   1.541274   0.479540
2.997500   1.658752   0.471329
3.247292   1.776742   0.483471
3.497083   1.900286   0.501443
3.746875   2.027255   0.502849
3.996667   2.151501   0.501294
4.246458   2.277693   0.506021
4.496250   2.404301   0.518660
4.746042   2.536807   0.530073
4.995833   2.669116   0.536302
5.245625   2.804735   0.527213
5.495417   2.932503   0.520825
5.745208   3.064930   0.555516
5.995000   3.210030   0.595227
6.244792   3.362295   0.625271
6.494583   3.522405   0.635567
6.744375   3.679814   0.628490
6.994167   3.836388   0.635831
7.243958   3.997465   0.638350
7.493750   4.155297   0.639437
7.743542   4.316917   0.643858
7.993333   4.476958   0.658616
8.243125   4.645950   0.683790
8.492917   4.818568   0.670179
8.742708   4.980761   0.643858
8.992500   5.140229   0.645752
9.242292   5.303368   0.640126
9.492083   5.460025   0.635287
9.741875   5.620747   0.625922
9.991667   5.772725   0.618106
10.241458   5.929542   0.640211
10.491250   6.092564   0.660414
10.741042   6.259474   0.677614
10.990833   6.431089   0.690061
11.240625   6.604217   0.676356
11.490417   6.768985   0.670449
11.740208   6.939162   0.682679
11.990000   7.110040   0.696249
12.239792   7.286996   0.689235
12.489583   7.454371   0.689909
12.739375   7.631663   0.712839
12.989167   7.810493   0.690781
13.238958   7.976766   0.662091
13.488750   8.141263   0.658560
13.738542   8.305772   0.665805
13.988333   8.473888   0.653321
14.238125   8.632160   0.649241
14.487917   8.798238   0.652728
14.737708   8.958252   0.615455
14.987500   9.105709   0.566270
15.237292   9.241151   0.542992
15.487083   9.376978   0.554967
15.736875   9.518403   0.554833
15.986667   9.654164   0.549042
16.236458   9.792695   0.558165
16.486250   9.933013   0.560110
16.736042   10.072517   0.566616
16.985833   10.216085   0.582213
17.235625   10.363380   0.593115
17.485417   10.512396   0.581858
17.735208   10.654067   0.563335
17.985000   10.793829   0.565278
18.234792   10.936471   0.579255
18.484583   11.083215   0.592947
18.734375   11.232697   0.615354
18.984167   11.390636   0.628768
19.233958   11.546819   0.605723
19.483750   11.693245   0.579064
19.733542   11.836110   0.566997
19.983333   11.976507   0.549138
20.233125   12.110450   0.538448
20.482917   12.245507   0.542307
20.732708   12.381377   0.535635
20.982500   12.513101   0.526146
21.232292   12.644231   0.528675
21.482083   12.777219   0.531677
21.731875   12.909848   0.532334
21.981667   13.043164   0.531803
22.231458   13.175528   0.524535
22.481250   13.305213   0.513372
22.731042   13.432000   0.514427
22.980833   13.562212   0.528903
23.230625   13.696231   0.539126
23.480417   13.831551   0.541627
23.730208   13.966819   0.547957
23.980000   14.105301   0.558021
24.229792   14.245597   0.548981
24.479583   14.379563   0.546641
24.729375   14.518689   0.579505
24.979167   14.669074   0.635772
25.228958   14.836311   0.678657
25.478750   15.008119   0.680749
25.728542   15.176402   0.681733
25.978333   15.348702   0.665942
26.228125   15.509095   0.637613
26.477917   15.667242   0.648096
26.727708   15.832873   0.690268
26.977500   16.012089   0.733403
27.227292   16.199269   0.758227
27.477083   16.390887   0.771991
27.726875   16.584943   0.785429
27.976667   16.783274   0.791508
28.226458   16.980367   0.760505
28.476250   17.163209   0.725356
28.726042   17.342743   0.713077
28.975833   17.519451   0.688832
29.225625   17.686871   0.662877
29.475417   17.850613   0.667336
29.725208   18.020261   0.689982
29.975000   18.195317   0.700947
30.224792   18.370443   0.707779
30.474583   18.548912   0.707650
30.724375   18.723973   0.688450
30.974167   18.892850   0.664085
31.223958   19.055739   0.624819
31.473750   19.204999   0.602700
31.723542   19.356838   0.616976
31.973333   19.513230   0.651774
32.223125   19.682454   0.680540
32.472917   19.853216   0.659421
32.722708   20.011890   0.626973
32.972500   20.166441   0.624079
33.222292   20.323669   0.606464
33.472083   20.469420   0.567200
33.721875   20.607033   0.540513
33.971667   20.739452   0.544778
34.221458   20.879194   0.568181
34.471250   21.023306   0.556928
34.721042   21.157427   0.501616
34.970833   21.273905   0.459054
35.220625   21.386762   0.454354
35.470417   21.500892   0.464637
35.720208   21.618887   0.470327
35.970000   21.735860   0.476538
36.219792   21.856958   0.490901
36.469583   21.981106   0.498968
36.719375   22.106234   0.503571
36.969167   22.232682   0.522832
37.218958   22.367432   0.536039
37.468750   22.500478   0.547333
37.718542   22.640870   0.579932
37.968333   22.790202   0.590671
