# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.200192   0.659850
0.499583   0.329650   0.483476
0.749375   0.441729   0.429983
0.999167   0.544462   0.397178
1.248958   0.640152   0.392220
1.498750   0.740409   0.396037
1.748542   0.838006   0.391394
1.998333   0.935943   0.354276
2.248125   1.014996   0.309340
2.497917   1.090484   0.318665
2.747708   1.174196   0.343613
2.997500   1.262147   0.367710
3.247292   1.357898   0.399063
3.497083   1.461512   0.412246
3.746875   1.563849   0.400626
3.996667   1.661658   0.393584
4.246458   1.760477   0.375425
4.496250   1.849215   0.353704
4.746042   1.937182   0.354276
4.995833   2.026205   0.369204
5.245625   2.121630   0.398546
5.495417   2.225312   0.417330
5.745208   2.330121   0.410739
5.995000   2.430510   0.414736
6.244792   2.537316   0.418622
6.494583   2.639647   0.408537
6.744375   2.741415   0.416246
6.994167   2.847597   0.432080
7.243958   2.957274   0.434977
7.493750   3.064904   0.429817
7.743542   3.172004   0.436155
7.993333   3.282799   0.451960
8.243125   3.397796   0.453912
8.492917   3.509566   0.478601
8.742708   3.636897   0.504802
8.992500   3.761756   0.529533
9.242292   3.901442   0.541439
9.492083   4.032250   0.540572
9.741875   4.171503   0.542596
9.991667   4.303322   0.534058
10.241458   4.438310   0.520787
10.491250   4.563499   0.515962
10.741042   4.696076   0.531544
10.990833   4.829049   0.518830
11.240625   4.955275   0.498385
11.490417   5.078034   0.504528
11.740208   5.207329   0.527804
11.990000   5.341716   0.552559
12.239792   5.483378   0.575284
12.489583   5.629119   0.558958
12.739375   5.762624   0.543287
12.989167   5.900536   0.565662
13.238958   6.045220   0.564135
13.488750   6.182368   0.511061
13.738542   6.300537   0.463624
13.988333   6.413987   0.427792
14.238125   6.514255   0.406232
14.487917   6.616934   0.452657
14.737708   6.740394   0.505522
14.987500   6.869484   0.490866
15.237292   6.985623   0.481993
15.487083   7.110280   0.504050
15.736875   7.237438   0.525551
15.986667   7.372837   0.553607
16.236458   7.514011   0.541921
16.486250   7.643572   0.500306
16.736042   7.763955   0.450811
16.985833   7.868789   0.419965
17.235625   7.973762   0.404132
17.485417   8.070687   0.395843
17.735208   8.171519   0.436538
17.985000   8.288774   0.491443
18.234792   8.417036   0.518221
18.484583   8.547669   0.509800
18.734375   8.671723   0.475748
18.984167   8.785345   0.435935
19.233958   8.889509   0.379979
19.483750   8.975176   0.318885
19.733542   9.048819   0.269060
19.983333   9.109594   0.244884
20.233125   9.171159   0.221870
20.482917   9.220436   0.200171
20.732708   9.271161   0.208393
20.982500   9.324546   0.211088
21.232292   9.376617   0.233824
21.482083   9.441361   0.279087
21.731875   9.516044   0.296153
21.981667   9.589314   0.298955
22.231458   9.665397   0.273323
22.481250   9.725862   0.255950
22.731042   9.793265   0.217677
22.980833   9.834609   0.175378
23.230625   9.880881   0.219996
23.480417   9.944516   0.305063
23.730208   10.033286   0.357506
23.980000   10.123120   0.348608
