# Time t    MSD(t)    d/dt MSD(t)
0.000000   0.000000   0.000000
0.249792   0.240129   0.859904
0.499583   0.429593   0.752315
0.749375   0.615973   0.722909
0.999167   0.790747   0.698468
1.248958   0.964916   0.707904
1.498750   1.144404   0.728144
1.748542   1.328685   0.744645
1.998333   1.516416   0.725530
2.248125   1.691148   0.686442
2.497917   1.859351   0.676066
2.747708   2.028899   0.698398
2.997500   2.208259   0.734020
3.247292   2.395603   0.774944
3.497083   2.595409   0.830201
3.746875   2.810358   0.860883
3.996667   3.025491   0.872836
4.246458   3.246412   0.884291
4.496250   3.467268   0.850214
4.746042   3.671165   0.792901
4.995833   3.863388   0.772005
5.245625   4.056846   0.776110
5.495417   4.251120   0.775936
5.745208   4.444491   0.800639
5.995000   4.651106   0.845884
6.244792   4.867080   0.857694
6.494583   5.079596   0.853475
6.744375   5.293463   0.824808
6.994167   5.491656   0.758428
7.243958   5.672360   0.717952
7.493750   5.850333   0.688523
7.743542   6.016335   0.633015
7.993333   6.166576   0.619502
8.243125   6.325828   0.586678
8.492917   6.459671   0.534580
8.742708   6.592895   0.550996
8.992500   6.734940   0.595043
9.242292   6.890169   0.606147
9.492083   7.037761   0.671468
9.741875   7.225623   0.771697
9.991667   7.423288   0.783234
10.241458   7.616914   0.780613
10.491250   7.813269   0.797034
10.741042   8.015099   0.791330
10.990833   8.208604   0.740407
11.240625   8.384994   0.738405
11.490417   8.577499   0.787839
11.740208   8.778585   0.825038
11.990000   8.989674   0.816025
12.239792   9.186257   0.755021
12.489583   9.366870   0.717886
12.739375   9.544901   0.721947
12.989167   9.727542   0.715063
13.238958   9.902135   0.715321
13.488750   10.084905   0.755360
13.738542   10.279500   0.746040
13.988333   10.457614   0.686640
14.238125   10.622534   0.658478
14.487917   10.786579   0.592394
14.737708   10.918484   0.502049
14.987500   11.037394   0.485240
15.237292   11.160902   0.477226
15.487083   11.275808   0.425208
15.736875   11.373329   0.409097
15.986667   11.480187   0.451088
16.236458   11.598685   0.437126
16.486250   11.698567   0.368660
16.736042   11.782862   0.342641
16.985833   11.869745   0.343324
17.235625   11.954381   0.348296
17.485417   12.043748   0.381698
17.735208   12.145071   0.388003
17.985000   12.237588   0.361766
18.234792   12.325803   0.346405
18.484583   12.410646   0.315371
18.734375   12.483357   0.315246
18.984167   12.568138   0.355110
19.233958   12.660764   0.373437
19.483750   12.754701   0.395074
19.733542   12.858136   0.432528
19.983333   12.970784   0.441386
20.233125   13.078645   0.435207
20.482917   13.188207   0.453976
20.732708   13.305444   0.497157
20.982500   13.436578   0.533870
21.232292   13.572157   0.566340
21.482083   13.719512   0.567618
21.731875   13.855729   0.547750
21.981667   13.993159   0.552956
22.231458   14.131977   0.609247
22.481250   14.297528   0.675163
22.731042   14.469277   0.672416
22.980833   14.633456   0.654061
23.230625   14.796035   0.659065
23.480417   14.962714   0.647671
23.730208   15.119601   0.633114
23.980000   15.279007   0.664069
24.229792   15.451359   0.684146
24.479583   15.620795   0.706130
24.729375   15.804130   0.776753
24.979167   16.008848   0.809962
25.228958   16.208773   0.781395
25.478750   16.399220   0.762230
25.728542   16.589570   0.752382
25.978333   16.775098   0.767811
26.228125   16.973156   0.791215
26.477917   17.170375   0.821044
26.727708   17.383336   0.842318
26.977500   17.591183   0.851070
27.227292   17.808516   0.846337
27.477083   18.014000   0.750666
27.726875   18.183537   0.714339
27.976667   18.370872   0.775518
28.226458   18.570973   0.804011
28.476250   18.772542   0.842532
28.726042   18.991887   0.880663
28.975833   19.212506   0.865618
29.225625   19.424336   0.835563
29.475417   19.629939   0.823299
29.725208   19.835642   0.864265
29.975000   20.061712   0.925262
30.224792   20.297888   0.935139
30.474583   20.528891   0.915692
30.724375   20.755352   0.872782
30.974167   20.964919   0.832374
31.223958   21.171193   0.867571
31.473750   21.398343   0.952465
31.723542   21.647028   1.007449
31.973333   21.901647   1.006736
32.223125   22.149977   0.920587
32.472917   22.361557   0.865143
32.722708   22.582188   0.886928
32.972500   22.804652   0.867816
33.222292   23.015735   0.873427
33.472083   23.241001   0.912577
33.721875   23.471643   0.923697
33.971667   23.702465   0.937167
34.221458   23.939836   0.948889
34.471250   24.176514   0.878866
34.721042   24.378903   0.773906
34.970833   24.563145   0.727078
35.220625   24.742140   0.715783
35.470417   24.920738   0.742160
35.720208   25.112910   0.764993
35.970000   25.302915   0.792136
36.219792   25.508648   0.806861
36.469583   25.706010   0.679325
36.719375   25.848028   0.533896
36.969167   25.972735   0.543814
37.218958   26.119708   0.608975
37.468750   26.276969   0.682886
37.718542   26.460866   0.738952
37.968333   26.646137   0.739992
38.218125   26.830554   0.684207
38.467917   26.987956   0.637374
38.717708   27.148975   0.595806
38.967500   27.285610   0.521193
39.217292   27.409355   0.507230
39.467083   27.539014   0.578780
39.716875   27.698504   0.659851
39.966667   27.868665   0.702960
40.216458   28.049691   0.737095
40.466250   28.236905   0.767484
40.716042   28.433113   0.814735
40.965833   28.643933   0.874613
41.215625   28.870055   0.940191
41.465417   29.113637   1.033616
41.715208   29.386433   1.080834
41.965000   29.653604   1.049057
42.214792   29.910524   1.072395
42.464583   30.189355   1.111425
42.714375   30.465773   1.085400
42.964167   30.731602   1.110997
43.213958   31.020809   1.149674
43.463750   31.305960   1.147999
43.713542   31.594330   1.186803
43.963333   31.898867   1.236372
44.213125   32.212000   1.228112
44.462917   32.512411   1.115136
44.712708   32.769104   1.019099
44.962500   33.021536   1.036579
45.212292   33.286962   1.089790
45.462083   33.565977   1.165976
45.711875   33.869464   1.174565
45.961667   34.152770   1.127226
46.211458   34.432607   1.079135
46.461250   34.691888   1.100412
46.711042   34.982355   1.195223
46.960833   35.289001   1.238196
47.210625   35.600937   1.236497
47.460417   35.906734   1.198824
47.710208   36.199849   1.141604
47.960000   36.477060   1.046294
48.209792   36.722560   1.014943
48.459583   36.984109   1.066389
48.709375   37.255310   1.093636
48.959167   37.530471   1.097468
49.208958   37.803587   1.119261
49.458750   38.089636   1.138512
49.708542   38.372368   1.045038
49.958333   38.611719   0.984160
50.208125   38.864038   1.006007
50.457917   39.114303   0.948262
50.707708   39.337774   0.958033
50.957500   39.592920   0.997592
51.207292   39.836154   1.008491
51.457083   40.096745   0.993936
51.706875   40.332708   0.911222
51.956667   40.551977   0.933806
52.206458   40.799222   0.947819
52.456250   41.025491   0.889552
52.706042   41.243628   0.901042
52.955833   41.475637   0.968364
53.205625   41.727406   0.984599
53.455417   41.967526   0.898602
53.705208   42.176333   0.809442
53.955000   42.371910   0.739061
54.204792   42.545555   0.723035
54.454583   42.733126   0.744366
54.704375   42.917428   0.737824
